category,area
Землі лісогосподарського призначення,11777.357
Землі житлової та громадської забудови,11714.452968170794
"Землі промисловості, транспорту, зв’язку, енергетики, оборони та іншого призначення",8174.148845234038
Не визначено,3081.495769570011
Землі природно-заповідного та іншого природоохоронного призначення,2645.109
Землі сільськогосподарського призначення,2502.3300673749623
Землі водного фонду,2488.3335942567905
Землі рекреаційного призначення,1808.4945282449635
Землі історико-культурного призначення,486.8354
Землі оздоровчого призначення,130.3759
