,category,ownership,area,short_name
0,Землі водного фонду,Державна власність,8.23,Землі водног...
1,Землі водного фонду,Комунальна власність,219.46,Землі водног...
2,Землі водного фонду,Не визначено,2247.7,Землі водног...
3,Землі водного фонду,Приватна власність,13.66,Землі водног...
4,Землі житлової та громадської забудови,Державна власність,1345.4,Землі житлов...
5,Землі житлової та громадської забудови,Комунальна власність,5039.3,Землі житлов...
6,Землі житлової та громадської забудови,Не визначено,3508.97,Землі житлов...
7,Землі житлової та громадської забудови,Приватна власність,2963.32,Землі житлов...
8,Землі лісогосподарського призначення,Державна власність,230.2,Землі лісого...
9,Землі лісогосподарського призначення,Комунальна власність,698.15,Землі лісого...
10,Землі лісогосподарського призначення,Не визначено,10962.14,Землі лісого...
11,Землі оздоровчого призначення,Державна власність,13.48,Землі оздоро...
12,Землі оздоровчого призначення,Комунальна власність,70.6,Землі оздоро...
13,Землі оздоровчого призначення,Не визначено,16.55,Землі оздоро...
14,Землі оздоровчого призначення,Приватна власність,29.79,Землі оздоро...
15,Землі природно-заповідного та іншого природоохоронного призначення,Державна власність,123.09,Землі природ...
16,Землі природно-заповідного та іншого природоохоронного призначення,Комунальна власність,2120.95,Землі природ...
17,Землі природно-заповідного та іншого природоохоронного призначення,Не визначено,400.98,Землі природ...
18,Землі природно-заповідного та іншого природоохоронного призначення,Приватна власність,0.76,Землі природ...
19,"Землі промисловості, транспорту, зв’язку, енергетики, оборони та іншого призначення",Державна власність,1877.02,Землі промис...
20,"Землі промисловості, транспорту, зв’язку, енергетики, оборони та іншого призначення",Комунальна власність,2572.82,Землі промис...
21,"Землі промисловості, транспорту, зв’язку, енергетики, оборони та іншого призначення",Не визначено,3744.95,Землі промис...
22,"Землі промисловості, транспорту, зв’язку, енергетики, оборони та іншого призначення",Приватна власність,158.66,Землі промис...
23,Землі рекреаційного призначення,Державна власність,71.21,Землі рекреа...
24,Землі рекреаційного призначення,Комунальна власність,720.0,Землі рекреа...
25,Землі рекреаційного призначення,Не визначено,951.65,Землі рекреа...
26,Землі рекреаційного призначення,Приватна власність,135.78,Землі рекреа...
27,Землі сільськогосподарського призначення,Державна власність,246.0,Землі сільсь...
28,Землі сільськогосподарського призначення,Комунальна власність,1119.46,Землі сільсь...
29,Землі сільськогосподарського призначення,Не визначено,39.88,Землі сільсь...
30,Землі сільськогосподарського призначення,Приватна власність,1690.86,Землі сільсь...
31,Землі історико-культурного призначення,Державна власність,40.89,Землі істори...
32,Землі історико-культурного призначення,Комунальна власність,389.04,Землі істори...
33,Землі історико-культурного призначення,Не визначено,58.13,Землі істори...
34,Землі історико-культурного призначення,Приватна власність,0.08,Землі істори...
35,Не визначено,Державна власність,1035.7,Не визначено...
36,Не визначено,Комунальна власність,1859.64,Не визначено...
37,Не визначено,Не визначено,9.7,Не визначено...
38,Не визначено,Приватна власність,270.81,Не визначено...
